"name","lat","lon","value"
"Richmond Circle",12.9674725762,77.5994390879,0.45
"StJosephs College",12.9698730762,77.6029042489,0.45
"Mayohall",12.9720408,77.61065209,0.45
"MG Road ",12.97640668,77.60853047,0.45
"Shivajinagar Bus Station,SHIVAJI NAGARA,BESIDE BMTC BUS STAND",12.9830382139,77.6032352181,0.45
"Indian Express",12.98389098,77.59763625,0.45
"Vidhana Soudha",12.9789189901,77.5925345253,0.45
"KR Circle,Post Office Road",12.97543,77.58645,0.45
"Vasanthapura,VASANTHAPURA,IN FRONT OF VASANTHA VALLABHARAYA SWAMY TEMPLE",12.8954248058,77.5522463865,0.45
"Yadalam Nagara,YADALAM NAGARA,IN FRONT OF SRI MANIKANTA SOUND SYSTEM",12.8961664673,77.5485178576,0.45
"Subramanyapura Co-operative Society,SUBRAMANYA PURA,BESIDE K.E.B.",12.8976035002,77.5462201164,0.45
"Subramanyapura Police station,SUBRAMANYA PURA,IN FRONT OF YADALAM ADI LAKSHMAMMA SUBBAIAH SHETTY MIDDLE SCHOOL",12.8990713078,77.543722087,0.45
"Uttarahalli,UTHARAHALLI,IN FRONT OF PUBLIC LIBRARY UTHARAHALLI",12.9049496166,77.5433301553,0.45
"Uttarahalli KR Hospital,UTHARAHALLI,IN FRONT OF I.C.I.C.I.BANK",12.9069658551,77.5459173928,0.45
"Chikkalsandra Canara Bank Colony,CHIKKALASANDRA,BESIDE STATE BANK OF MYSORE",12.9092132341,77.549253082,0.45
"Chikkalsandra Aralimara,CHIKKALASANDRA,IN FRONT OF C.S.HOSPITAL",12.9117460626,77.5525682757,0.45
"Gowdana palya,TELECOM NAGARA,BESIDE SRI BALAJI C.D.CENTRE",12.911531534,77.5555543529,0.45
"Prarthana School,PADMANABHA NAGARA",12.9120117736,77.5585499294,0.45
"Kadirenahalli Village,KADIRENAHALLI,IN FRONT OF BELURU IYENGAR BAKERY",12.9156865847,77.5616728897,0.45
"kadirenahalli cross,BANASHANKRI 2ND STAGE TEACHERS COLONY,BESIDE S.A.F00T WEAR",12.9138894193,77.5668682996,0.45
"BANASHANKARI TTMC",12.9175629124,77.5734471159,0.45
"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER",12.9176249821,77.5773779489,0.45
"Jayanagara 40th Cross",12.91998,77.58013,0.45
"Central Silk Board",12.91747,77.62423,0.45
"Madivala Mosque,KORAMANGALA 2ND BLOCK,IN FROUNT OF UJWAL FAB INDIA",12.925066361,77.6189798181,0.45
"Koramangala Water Tank,KORAMANGALA RING ROAD,OPPOSITE OF KARNATAKA BANK",12.9292936809,77.6214331482,0.45
"BDA Complex koramangala,KORAMANGALA RING ROAD,OPPOSITE OF BDA COMPLEX",12.9308975867,77.6221266193,0.45
"Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE SPICE HOT SHOP",12.9350559041,77.6240192167,0.45
"Jn of 80 and 100 Feet Road,KORAMANGALA RING ROAD,OPPOSITE OF OASIS CENTER & LIFE STYLE",12.9381218366,77.6280230843,0.45
"Sreenivagilu,KORAMANGALA RING ROAD,BESIDE ASC NORTH COMPLEX",12.9386060592,77.633225061,0.45
"Military Bridge",12.94598,77.63996,0.45
"Jn of New Bridge,DOMLURU,BESIDE GINGER COFFEE DAY",12.9523257259,77.6400564797,0.45
"Domlur,DOMLURU,OPPOSITE OF HDFC BANK",12.9569417238,77.6413058862,0.45
"Domlur Bridge",12.96055591,77.64141459,0.45
"Doopanahalli,INDIRA NAGARA,BESIDE RELIANCE DIGITAL",12.9637509305,77.6414803974,0.45
"New Horizon School,HAL 2ND STAGE,BESIDE NAC HOME",12.9665001402,77.6413348563,0.45
"HAL 12th Main,HAL 2ND STAGE,BESIDE AXIS BANK",12.9694407,77.6412141592,0.45
"HAL 6th Main,HAL 2ND STAGE,BESIDE BANK OF BARODA",12.9737052664,77.6409116376,0.45
"Indiranagar Police Station,INDIRA NAGARA,BESIDE POLICE STATION & K.F.C.",12.9781894293,77.6402802765,0.45
"Indiranagar Double Road,INDIRA NAGARA,BESIDE MANYVARA, 13TH CROSS",12.9780895667,77.6359556004,0.45
"Lakshmipura Ulsoor,INDIRA NAGARA,BESIDE BBMP BURIAL GROUND",12.9782414388,77.6319864259,0.45
"Halasur",12.978018,77.628324,0.45
"Trinity Circle",12.9728378683,77.6216715341,0.45
"Manipal Centre,M.G.ROAD,BESIDE MILITARY GATE",12.9754740279,77.6134497207,0.45
"maniksha pardeground,M.G.ROAD,BESIDE PARADE GROUND",12.9772753346,77.6078696412,0.45
"Mysore Bank,VASANTHA NAGARA,BESIDE ALL INDIA COUNCIL FOR TECHNICAL",12.9746610671,77.5819961261,0.45
"Maharani College,BESIDE SJP COLLEGE",12.9770464894,77.5859164593,0.45
"Kempegowda Bus Station",12.978062,77.572342,0.45
"Peenya 2nd stage,PEENYA 2ND STAGE,IN FRONT OF M.P.P.TEHNOLOGIES PVT LTD",13.0107668722,77.50672509,0.45
"Rajagopalanagar Rajni Farms,PEENYA INDUSTRIAL AREA 2ND STAGE,IN FRONT OF MANJUNATHA REFRESHMENT",13.0139706843,77.5089234486,0.45
"Peenya 14th Cross,PEENYA INDUSTRIAL AREA 2ND STAGE,OPPOSITE OF SISTEMS MANUFACTURING PVT LTD",13.0170412268,77.5058460329,0.45
"Brundavana Peenya 2nd Stage,PEENYA INDUSTRIAL AREA 2ND STAGE,IN FRONT OF NEW TIMBER INDUSTRY",13.0202670023,77.5079948176,0.45
"NTTF,N.T.T.F.CROSS,IN FRONT OF NEW TIMBER INDUSTRY",13.0249445233,77.5109549705,0.45
"Rolling Mill,PEENYA INDUSTRIAL AREA,BESIDE ARVIND MOTORS",13.0265822408,77.5147200618,0.45
"TVS Cross ,PEENYA INDUSTRIAL AREA,IN FRONT OF MALLIPORE LIMITED",13.0285953621,77.5195686195,0.45
"System Jalahalli Cross,PEENYA INDUSTRIAL AREA,IN FRONT OF SISTEMS MANUFACTURING PVT LTD",13.0350020452,77.5179111771,0.45
"Jalahalli Cross",13.0396253082,77.5182292029,0.45
"T Dasarahalli",13.04299089,77.5124183,0.45
"Tumkur Road 8th Mile,8TH MILE,BESIDE DURGA SAW MILL",13.0460511013,77.5074918591,0.45
"Widia School Bagalagunte,T.DASARAHALLI,BESIDE ESHWARI MEDICALS",13.0511002806,77.5076984614,0.45
"Bagalagunte,BAGALAGUNTE,BESIDE MATAJI STEEL CENTER",13.0562517699,77.5073038973,0.45
"Bone Mill,BONE MILL,BESIDE PAVAN MEDICALS",13.063843,77.505073,0.45
"Sapthagiri College Chikka Banawara,KIRLOSKAR LAYOUT,BESIDE NEW UDUPI UPAHARA",13.0668690461,77.5032413827,0.45
"Janapriya Apartments,JANAPRIYA APARTMENTS,BESIDE OPEN AREA",13.0734588211,77.5030843997,0.45
"Chikkabanawara Railway Gate,CHIKKA BANAVARA,BESIDE GREEN COMFORT CAMPUS HOME",13.0755066779,77.50461163,0.45
"Chikkabanawara ,CHIKKA BANAVARA,BESIDE SUMA TRADERS",13.081903458,77.5002161861,0.45
"Borewell",12.95521833,77.68778156,0.45
"Maratahalli",12.95643585,77.69509886,0.45
"Maratahalli Bridge",12.95693,77.70178,0.45
"Spice Garden",12.95647795,77.70905589,0.45
"Kundalahalli Gate,KUNDALAHALLI,OPPOSITE OF HYPER CITY",12.9582354904,77.7155640222,0.45
"BEML Gate,KUNDALAHALLI,OPPOSITE OF HYPER CITY",12.9611035064,77.7164579462,0.45
"AECS Layout,KUNDALAHALLI,OPPOSITE OF BROOK FIELD",12.965155659,77.7182496209,0.45
"Graphite India",12.9781837149,77.7114300219,0.45
"SAP ITPL,WHITEFIELD,IN FRONT OF SAP",12.9777191231,77.7150244916,0.45
"Vydehi Hospital,WHITEFIELD,BESIDE TTMC BUS STAND",12.9766568496,77.7267842662,0.45
"Sai Baba Hospital,WHITEFIELD,OPPOSITE OF SRI SATHYA SAI HOSPITAL",12.9836607695,77.7284611729,0.45
"Pattandur Agrahara Gate,IN FRONT OF APPOLO PHARMACY",12.9879409972,77.7337396116,0.45
"ITPL,OPPOSITE OF I.T.P.L. MAIN GATE",12.9876391655,77.7373727363,0.45
"B P L,OPPOSITE OF CINEMA HALL",12.9853534333,77.7479886796,0.45
"Hope Farm",12.98260711,77.75221137,0.45
"White Field",12.96934503,77.74999166,0.45
"Varthuru Kodi",12.95695765,77.74543921,0.45
"Ramagondanahalli Varthuru",12.9569131,77.73978427,0.45
"Siddapura",12.95604268,77.73068212,0.45
"Thubarahalli",12.95571269,77.72050289,0.45
"Kundalahalli Gate",12.95582602,77.71367471,0.45
"JP Nagara 1st Phase,SHAKAMBARI NAGARA,BESIDE APOLLO PHARMACY",12.9114097171,77.5741377566,0.45
"Indira Gandhi Circle,SHAKAMBARI NAGARA,BESIDE S.B.M.LAYOUT",12.9108850099,77.5789394137,0.45
"Eliyas Nagar,ILYASA NAGARA,BESIDE M.S.MADEENA STORE",12.9056105771,77.5690436931,0.45
"Jn Of Ring Road,ILYAS NAGARA,BESIDE R.R.DIAGNOSTIC CENTER",12.907533925,77.5713143963,0.45
"Banashankari Bus Station",12.9182,77.5733,0.45
"Kadirenahalli Cross,BANASHANKRI 2ND STAGE KAVERI NAGARA,BESIDE KAVERI GLASS & PLYWOODS",12.9138101712,77.5674308493,0.45
"Dayananda Sagar College,KUMARASWAMY AYOUT 2ND STAGE,IN FRONT OF STATE BANK OF INDIA",12.9094217871,77.5653938159,0.45
"Kumaraswamy Layout Police Station,KUMARA SWAMY LAYOUT,IN FRONT OF KUMARA SWAMY LAYOUT POLICE STATION",12.9051648841,77.5627168544,0.45
"Kumaraswamy Layout ",12.902954,77.561565,0.45
"Canara Bank",12.90086,77.55987,0.45
"ISRO Layout,ISRO LAYOUT,IN FRONT OF BHARTHIYA STATE BANK",12.8988754191,77.5583100412,0.45
"Vasanthapura,VASANTHAPURA,BESIDE OPEN AREA",12.896358216,77.5521097812,0.45
"Brigade Road",12.97152762,77.60672572,0.45
"St. Patrics Church",12.96580821,77.60687003,0.45
"Johnson Market",12.96347424,77.60682366,0.45
"Anepalya",12.95249647,77.60487302,0.45
"MICO Gate",12.94455123,77.60283669,0.45
"Bangalore Dairy Circle",12.93557206,77.60149512,0.45
"Ashrama,OPPOSITE OF BHARATH PETROL BUNK",12.9257646482,77.6004831679,0.45
"Gurappana palya",12.91949205,77.60016424,0.45
"MICO Checkpost",12.91394365,77.60012383,0.45
"JP Nagara 3rd Phase",12.90830179,77.60039072,0.45
"Bilekalli",12.9007721,77.60115104,0.45
"IIM Appolo Hospital",12.89651799,77.60008346,0.45
"Arakere Gate Byrapura",12.8902041,77.5981027,0.45
"BPL",12.887442,77.597034,0.45
"Hulimavu Gate",12.88070285,77.5959377,0.45
"Meenakshi Temple",12.874185,77.594659,0.45
"Loyala School",12.87119325,77.5936447,0.45
"Kalena Agrahara",12.86628369,77.59193714,0.45
"Gottigere High School",12.86195091,77.59047392,0.45
"Gottigere",12.8551655,77.58881403,0.45
"TJohn College Cross",12.85057711,77.58843441,0.45
"Basavanapura Gate",12.84642508,77.5883265,0.45
"Koli Farm Gate Bannerghatta Road",12.84146763,77.58861309,0.45
"Tulip Resort Cross",12.83543,77.58912,0.45
"Kalkere",12.83260399,77.58909187,0.45
"AMC College Bannerghatta Road",12.83053139,77.5881611,0.45
"Jalli Machine Bannerghatta Road",12.82564977,77.58632219,0.45
"Vijaya Bank Banneragatta Circle",12.81564763,77.58317322,0.45
"Bannerghatta Circle",12.81364433,77.58101253,0.45
"Sampigehalli,BHANNERGAHTTA POST",12.80572254,77.57900176,0.45
"Bannerghatta National Park",12.80064982,77.57781608,0.45
"Nagarabhavi BDA Complex,NAGARABHAVI 2ND STAGE,BESIDE BDA COMPLEX NAGARABHAVI",12.9791073316,77.5106893306,0.45
"Papareddy Palya,PAPAREDDY PALYA,BESIDE SHARADA TIMBERS",12.9724245977,77.5079001894,0.45
"Deepa Complex,PAPAREDDY PALYA,BESIDE DEEPA COMPLEX",12.9667716975,77.5050348298,0.45
"Ambedkar College,80FEET OUTER RING ROAD,IN FRONT OF FISH PRODUCT SALES COUNTER",12.9602591973,77.5049728062,0.45
"NGEF Layout,NGEF LAYOUT,IN FRONT OF TEJASWINI PHARMA",12.96094557,77.5097237,0.45
"Nrupatunga Nagar,N.G.E.F.LAYOUT,IN FRONT OF TWINKLERS VIDYANIKETHAN",12.9580731131,77.5099148601,0.45
"Nagarabhavi Village,NAGARABHAVI VILLAGE,BESIDE DANVANTHARI HOMEO CLINIC",12.9569323194,77.5158314681,0.45
"NAGARBHAVI CIRCLE,NAGARABHAVI CIRCLE,OPPOSITE OF DURGA PARAMESHWARI HOTEL",12.9596976483,77.5197751157,0.45
"Jyothi Nagara,JYOTHI NAGARA,IN FRONT OF BASAVESHWARA TRADERS",12.959376846,77.5216505505,0.45
"Chandra Layout,CHANDRA LAYOUT,OPPOSITE OF CHANDRAGIRI PALACE",12.9583006987,77.5264990663,0.45
"Chandra Layout Ganesh temple,CHANDRA LAYOUT,BESIDE POST OFFICE",12.9583657254,77.5288030598,0.45
"Chandra Public School Chandra Layout,CHANDRA LAYOUT,BESIDE SPIRIT JUNCTION",12.960409401,77.529523233,0.45
"Income Tax Layout,VIJAYANAGARA,BESIDE A.M.HOSPITAL",12.9600072604,77.5314798916,0.45
"Attiguppe,RPC LAYOUT,OPPOSITE OF SYNDICATE BANK",12.9579615806,77.5340494826,0.45
"Deepanjalinagara Depot-16,DEEPANJALI NAGARA,OPPOSITE OF DEPOT 16",12.951521,77.537268,0.45
"Bapuji Nagara",12.95357632,77.54215453,0.45
"New Guddadahalli",12.95576633,77.54564716,0.45
"Azad Nagar",12.95724423,77.55133839,0.45
"Sirsi Circle,SIRSI CIRCLE",12.9604612,77.55693463,0.45
"Vinayaka Talkies KR Market",12.96328,77.56717,0.45
"Krishnarajendra Market,KR MARKET,OPPOSITE TO CHANDRA BHAVAN HOTEL",12.964049,77.577499,0.45
"Town Hall",12.96393155,77.58425661,0.45
"Kalyananagara Bus Stand,KALYAN NAGAR,OPPOSITE OF PANASONIC/GIRIAS SHOW ROOM",13.0265504122,77.6383386925,0.45
"Kalyana Nagara,KALYANA NAGARA,OPPOSITE OF INDO ASIAN ACADEMY DEGREE COLLEGE",13.0263655654,77.6364009013,0.45
"Hennur Cross",13.03161234,77.63600713,0.45
"Hennur Depot",13.02563268,77.63170509,0.45
"Kacharakanahalli,KACHARAKANAHALLI,OPPOSITE OF CHENNAKESHAVA TEMPLE",13.0213929963,77.6299128841,0.45
"Jyothi School Lingarajapura,KACHARAKANAHALLI,IN FRONT OF BETHEL CHURCH",13.0152573064,77.6289124042,0.45
"Lingarajapuram,KARIYANA PALYA,IN FRONT OF SUCHI RUCHI VEG",13.0122261985,77.6258237524,0.45
"Lingarajapura Bridge",13.00847,77.62294,0.45
"CHARLES SCHOOL,SAGAYAPURAM,BESIDE ST CHARLES CONVENT",13.0061727577,77.6210301137,0.45
"Sindhi Colony,FRAZER TOWN,IN FRONT OF BBMP CHOULTRY",12.9955239918,77.6167961575,0.45
"Thoms Cafe,FRAZER TOWN,OPPOSITE OF CAR TRENDZ",12.9910735041,77.61426704,0.45
"Lavanya Talkies,BESIDE POPULAR AUTOMOBILES",12.9859104194,77.6154710166,0.45
"Hasanath College,HALASURU,BESIDE HARANATHA COLLEGE",12.9791990295,77.6150634885,0.45
"B Station",12.97370413,77.6136414,0.45
"Jagajeevanram Nagara,J.J.NAGARA,BESIDE B.B.M.P. P.U.C. COLLEGE",12.9646651447,77.5549010374,0.45
"Maramma Temple,K.H.RANGANATHA COLONY,OPPOSITE OF MARIYAMMA TEMPLE",12.9631460924,77.5590106007,0.45
"Sirsi Circle",12.96162,77.56075,0.45
"Chikkallasandra Bus Stand,IN FRONT OF U.K.RESIDENCY APARTMENTS",12.9150644849,77.5522298148,0.45
"Mahesh Medicals,CHIKKALASANDRA,IN FRONT OF VINAYAKA PHOTO STUDIO",12.9140567595,77.5499971032,0.45
"HSR BDA COMPLEX",12.9127755482,77.6380090322,0.45
"14th Main HSR Layout",12.917437,77.638223,0.45
"Jakkasandra",12.92512051,77.63691743,0.45
"Koramangala",12.92482847,77.63459642,0.45
"John Fowler,KORAMANAGALA,OPPOSITE OF TOSHIBHA COMPANY, IN FRONT OF KSRP QUARTERS",12.9241064563,77.6308006793,0.45
"Koramangala Water Tank,KORAMANGALA,OPPOSITE OF AGARWAL EYE HOSPITAL & STATE BANK OF INDIA",12.9271197486,77.6215891433,0.45
"Katriguppe ,KATHRIGUPPE,IN FRONT OF ANNA KUTEERA HOTEL",12.9260894145,77.5502994551,0.45
"Vivekanada Nagara,VIVEKANANDA NAGARA,IN FRONT OF M.M.BAR & RESTAURANT",12.9305098113,77.5535196997,0.45
"Vidya peeta Circle,VINAYAKANAGARA,IN FRONT OF KARNATAKA RAKSHANA VEDIKE OFFICE",12.9362775665,77.5596184563,0.45
"Srinivasa Nagara,SRINIVASANAGARA,IN FRONT OF SHANKARA TIMBERS",12.9376141786,77.5577776228,0.45
"Apex Bank,BANASHANKARI 1ST STAGE HANUMANTHA NAGARA,BESIDE ANJU FURNITURES",12.9417131486,77.5556886899,0.45
"Nagendra Block,BANASHANKARI 3RD STAGE NAGENDRA BLOCK,BESIDE SWASTIK HARD WARE",12.94184,77.55324,0.45
"Avalahalli BDA Park,AVALAHALLI BDA,OPPOSITE OF BDA PARK",12.9430989269,77.5426519755,0.45
"Deepanjali nagara BMT-16,DEEPANJALI NAGARA,OPPOSITE OF DEPOT 16",12.9514347731,77.5371147675,0.45
"Attiguppe,RPC LAYOUT,BESIDE SYNDICATE BANK",12.957782335,77.5338304262,0.45
"Vijayanagara TTMC,TTMC",12.9648426734,77.5347022433,0.45
"Maruthi mandira,VIJAYANAGARA,BESIDE MATHA AIR TRAVELS",12.9678038321,77.5361144263,0.45
"Vijayanagara,VIJAYANAGARA,IN FRONT OF INDRAPRASTHA HOTEL",12.9719527904,77.5376221631,0.45
"Manu Vana Vijayanagara,VIJAYANAGARA,BESIDE STATE BANK INDIA",12.974431,77.54451,0.45
"Magadi Road Dasarahalli",12.97889215,77.54065813,0.45
"KHB Colony",12.981106,77.535581,0.45
"Kamakshipalya",12.98432339,77.52803302,0.45
"Summanahalli Magadi Road,SUMANAHALLI,UNDER THE FLYOVER",12.987259,77.519228,0.45
"Kottige Palya Magadi Road",12.98781438,77.5153472,0.45
"Aralimara Sunkadakatte,SUNKADA KATTE,OPPOSITE OF STATE BANK OF MYSORE",12.9920521753,77.5045882047,0.45
"Vigneshwara Nagara,SUNKADA KATTE,IN FRONT OF SALLAPURADAMMA TEMPLE",12.9943562765,77.5041714963,0.45
"Neelagiri Thopu,SUNKADA KATTE,IN FRONT OF S.S.K.CHOULTRY",12.9960294098,77.5024757034,0.45
"Hegganahalli Cross,HEGGANA HALLI,OPPOSITE OF AMBIKA BAKERY & SWEETS",12.9997543943,77.50395567,0.45
"Hegganahalli,HEGGANA HALLI,OPPOSITE OF HODAY BADRIYA",13.005405488,77.5050712454,0.45
"Dairy Hegganahalli,HEGGANA HALLI,IN FRONT OF I.I.F.L.GOLD LOAN",13.0079324555,77.505534899,0.45
"Uttarahalli",12.908742736,77.5360993863,0.45
"Channasandra,CHANASANDRA,IN FRONT OF ANNAPOORNA RETAIL PVT LTD",12.9031718386,77.5211657435,0.45
"BEML Layout 5th Stage,B.E.M.L. GATE LAYOUT,BESIDE PAVAN ELECTRICALS & HARDWARE SHOP",12.9097278656,77.5209439882,0.45
"Double Road,B.E.M.L. DOUBLE ROAD CIRCLE,OPPOSITE OF SMART SUPER MARKET",12.9147559663,77.5206086456,0.45
"BEML Complex,B.E.M.L. LAYOUT 3RD STAGE,OPPOSITE OF RAMANJANEYA TEMPLE &amp; B.E.M.L. COMPLEX",12.919581,77.520303,0.45
"BEML Gate,B.E.M.L. LAYOUT 3RD STAGE,IN FRONT OF RAJESHWARI NAGARA, RESIDENTS WELFARE ASSOCIATION",12.9227341442,77.5183255102,0.45
"Ideal Homes,RAJA RAJESHWARI NAGARA,IN FRONT OF NIMISHAMBHA DEVI TEMPLE",12.9248344037,77.5178525352,0.45
"Raja Rajeshwari Temple,RAJESHWARI NAGARA,BESIDE RAJA RAJESHWARI TEMPLE",12.9271689054,77.5110982819,0.45
"RRSchool,IN FRONT OF RAJESHWARI SCHOOL",12.9283958293,77.514171485,0.45
"PETROL BUNK,RAJA RAJESHWARI NAGARA,OPPOSITE OF INDIAN OIL PETROL BUNK",12.932985811,77.5161832204,0.45
"Rajarajeshwarinagara Gate",12.9361908,77.51639508,0.45
"Bangalore Univercity Gate Mysore Road,MYSORE ROAD,IN FRONT OF UNIVERSITY GATE, RAILWAY BRIDGE",12.9359533545,77.5126559939,0.45
"Ladies Hostel University Campus,BANGALORE UNIVERSITY,IN FRONT OF CIVIL ENGINEERING DEPARTMENT UNIVERSITY",12.9421360977,77.5056441966,0.45
"Library University,BANGALORE UNIVERSITY,IN FRONT OF MUNESHWARA SWAMY TEMPLE",12.9438268952,77.5044993125,0.45
"Bangalore University Administrative Block,BANGALORE UNIVERSITY,NEAR HEAD OFFICE BANGALORE UNIVERSITY",12.9490639083,77.5010607205,0.45
"University Quarters",12.95176,77.50015,0.45
"Koli Farm University Quatres",12.95199,77.49796,0.45
"Press Layout Ullal Road",12.95035,77.49131,0.45
"Amma ashrama cross",12.94946,77.48908,0.45
"Vidyanikethan Public School",12.95061,77.48675,0.45
"Manganahalli Cross",12.95135,77.48446,0.45
"Hullalu",12.95551,77.48018,0.45
"Hullala Bar Stop",12.961506,77.478696,0.45
"Hullala Upanagara",12.96243,77.47524,0.45
"Kengeri Satelite Town,KENGERI UPANAGARA,IN FRONT OF KARUNA BAKERES & SWEETS",12.9225098714,77.4861416873,0.45
"Railway Station Kengeri",12.92237251,77.48444049,0.45
"Jn of Kommaghatta Road",12.91611473,77.48218418,0.45
"Ganesha Temple",12.91229468,77.48073544,0.45
"Kengeri Police Station",12.91048265,77.48319013,0.45
"Kengeri TTMC",12.91390887,77.48630136,0.45
